Removed Pin From Net: NetName=3.3V_AUX Pin=C174-2
Removed Pin From Net: NetName=3.3V Pin=C215-1
Removed Pin From Net: NetName=3.3V Pin=C216-2
Removed Pin From Net: NetName=3.3V Pin=C217-1
Removed Pin From Net: NetName=3.3V Pin=C218-1
Removed Pin From Net: NetName=3.3V Pin=C219-2
Removed Pin From Net: NetName=USB_TCK Pin=IC10-4
Removed Pin From Net: NetName=USB_TMS Pin=IC12-5
Removed Pin From Net: NetName=3.3V Pin=L4-2
Removed Pin From Net: NetName=3.3V_AUX Pin=P0-D5
Removed Pin From Net: NetName=3.3V Pin=R177-2
Removed Pin From Net: NetName=3.3V Pin=R185-2
Removed Pin From Net: NetName=3.3V Pin=R196-2
Removed Pin From Net: NetName=GND Pin=R207-1
Removed Pin From Net: NetName=3.3V Pin=R216-2
Removed Member From Class: ClassName=U_USB_JTAG Member=C195
Removed Member From Class: ClassName=U_USB_JTAG Member=D5
Removed Member From Class: ClassName=U_USB_JTAG Member=D6
Removed Member From Class: ClassName=U_USB_JTAG Member=J3
Removed Member From Class: ClassName=U_USB_JTAG Member=R207
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_P
Change Component Footprint: Designator=R207 Old Footprint=RESC1005X40N New Footprint=RESC1608X55N
Change Component Comment : Designator=R207 Old Comment=1k New Comment=2k37
Change component parameters: Designator = "R207"; Footprint = "RESC1608X55N"; UniqueID = "\URLXRHWU\ERIBKRQF\YZCXVILM"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "MAX4372FEUK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "SOT23-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "High side current sense amplifier (x50)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "MAX4372FEUK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "MAX4372FEUK"; VariantName = "[No Variations]"
Added Component: Designator=R269(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671004L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Added Component: Designator=R270(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671803L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_18K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_18K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "18k"; VariantName = "[No Variations]"
Added Component: Designator=R271(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03.12.2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17.10.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671004L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Added Component: Designator=R272(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671003L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R273(RESC3216X70N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "16.08.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R1206_VISHAY_RCWE.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "16.08.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "VISHAY DALE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R1206_0R22_1%_0.5W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R1206_0R22_1%_0.5W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.5W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R22"; VariantName = "[No Variations]"
Added Component: Designator=R274(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03.12.2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17.10.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671003L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R275(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03.12.2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17.10.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671004L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_100K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Added Component: Designator=R276(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03.12.2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17.10.2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671803L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_18K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_18K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "18k"; VariantName = "[No Variations]"
Added Component: Designator=R277(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270671003L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_10K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R278(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "YAGEO PHYCOMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "232270672403L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "R0402_24K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "General Purpose Thick Film Chip Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "R0402_24K_1%_0.0625W_100PPM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "0.0625W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "24k"; VariantName = "[No Variations]"
Added Component: Designator=R279(RESC1005X40N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "03/12/2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17/10/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
